layer, level, fraction, repeat, accuracy
conv1-1, synapse, 0.0, 0, 0.9038199782371521
conv1-1, synapse, 0.1, 0, 0.7732799649238586
conv1-1, synapse, 0.2, 0, 0.7754200100898743
conv1-1, synapse, 0.3, 0, 0.578719973564148
conv1-1, synapse, 0.4, 0, 0.3915799856185913
conv1-1, synapse, 0.5, 0, 0.4815399944782257
conv1-1, synapse, 0.6, 0, 0.39583998918533325
conv1-1, synapse, 0.7, 0, 0.19717998802661896
conv1-1, synapse, 0.8, 0, 0.14949999749660492
conv1-1, synapse, 0.9, 0, 0.027819998562335968
conv1-1, synapse, 1.0, 0, 0.004999999888241291
conv1-1, node, 0.0, 0, 0.9038199782371521
conv1-1, node, 0.1, 0, 0.8768799901008606
conv1-1, node, 0.2, 0, 0.8839399814605713
conv1-1, node, 0.3, 0, 0.7616599798202515
conv1-1, node, 0.4, 0, 0.7102000117301941
conv1-1, node, 0.5, 0, 0.7123799920082092
conv1-1, node, 0.6, 0, 0.4134399890899658
conv1-1, node, 0.7, 0, 0.25929999351501465
conv1-1, node, 0.8, 0, 0.39326000213623047
conv1-1, node, 0.9, 0, 0.016440000385046005
conv1-1, node, 1.0, 0, 0.004999999888241291
conv1-2, synapse, 0.0, 0, 0.9038199782371521
conv1-2, synapse, 0.1, 0, 0.8981199860572815
conv1-2, synapse, 0.2, 0, 0.8940399885177612
conv1-2, synapse, 0.3, 0, 0.8619199991226196
conv1-2, synapse, 0.4, 0, 0.8667999505996704
conv1-2, synapse, 0.5, 0, 0.718999981880188
conv1-2, synapse, 0.6, 0, 0.8348000049591064
conv1-2, synapse, 0.7, 0, 0.6277999877929688
conv1-2, synapse, 0.8, 0, 0.46998000144958496
conv1-2, synapse, 0.9, 0, 0.05583999678492546
conv1-2, synapse, 1.0, 0, 0.004999999888241291
conv1-2, node, 0.0, 0, 0.9038199782371521
conv1-2, node, 0.1, 0, 0.8851199746131897
conv1-2, node, 0.2, 0, 0.8628399968147278
conv1-2, node, 0.3, 0, 0.7081599831581116
conv1-2, node, 0.4, 0, 0.6746199727058411
conv1-2, node, 0.5, 0, 0.5766400098800659
conv1-2, node, 0.6, 0, 0.5428799986839294
conv1-2, node, 0.7, 0, 0.11159999668598175
conv1-2, node, 0.8, 0, 0.04580000042915344
conv1-2, node, 0.9, 0, 0.024819999933242798
conv1-2, node, 1.0, 0, 0.004999999888241291
conv2-1, synapse, 0.0, 0, 0.9038199782371521
conv2-1, synapse, 0.1, 0, 0.8985799551010132
conv2-1, synapse, 0.2, 0, 0.8963599801063538
conv2-1, synapse, 0.3, 0, 0.819920003414154
conv2-1, synapse, 0.4, 0, 0.8287999629974365
conv2-1, synapse, 0.5, 0, 0.8522599935531616
conv2-1, synapse, 0.6, 0, 0.7574999928474426
conv2-1, synapse, 0.7, 0, 0.5570399761199951
conv2-1, synapse, 0.8, 0, 0.41223999857902527
conv2-1, synapse, 0.9, 0, 0.09733999520540237
conv2-1, synapse, 1.0, 0, 0.004999999888241291
conv2-1, node, 0.0, 0, 0.9038199782371521
conv2-1, node, 0.1, 0, 0.8983399868011475
conv2-1, node, 0.2, 0, 0.891219973564148
conv2-1, node, 0.3, 0, 0.8780799508094788
conv2-1, node, 0.4, 0, 0.8440999984741211
conv2-1, node, 0.5, 0, 0.7953000068664551
conv2-1, node, 0.6, 0, 0.7002599835395813
conv2-1, node, 0.7, 0, 0.45809999108314514
conv2-1, node, 0.8, 0, 0.18862000107765198
conv2-1, node, 0.9, 0, 0.12647999823093414
conv2-1, node, 1.0, 0, 0.004999999888241291
conv2-2, synapse, 0.0, 0, 0.9038199782371521
conv2-2, synapse, 0.1, 0, 0.9003199934959412
conv2-2, synapse, 0.2, 0, 0.8957399725914001
conv2-2, synapse, 0.3, 0, 0.8960599899291992
conv2-2, synapse, 0.4, 0, 0.8673399686813354
conv2-2, synapse, 0.5, 0, 0.8501799702644348
conv2-2, synapse, 0.6, 0, 0.7976599931716919
conv2-2, synapse, 0.7, 0, 0.7228800058364868
conv2-2, synapse, 0.8, 0, 0.3585599958896637
conv2-2, synapse, 0.9, 0, 0.03691999986767769
conv2-2, synapse, 1.0, 0, 0.004999999888241291
conv2-2, node, 0.0, 0, 0.9038199782371521
conv2-2, node, 0.1, 0, 0.8820799589157104
conv2-2, node, 0.2, 0, 0.8210200071334839
conv2-2, node, 0.3, 0, 0.8397600054740906
conv2-2, node, 0.4, 0, 0.7525999546051025
conv2-2, node, 0.5, 0, 0.5159000158309937
conv2-2, node, 0.6, 0, 0.20627999305725098
conv2-2, node, 0.7, 0, 0.14159999787807465
conv2-2, node, 0.8, 0, 0.041039999574422836
conv2-2, node, 0.9, 0, 0.013319999910891056
conv2-2, node, 1.0, 0, 0.004999999888241291
conv3-1, synapse, 0.0, 0, 0.9038199782371521
conv3-1, synapse, 0.1, 0, 0.9029399752616882
conv3-1, synapse, 0.2, 0, 0.8996599912643433
conv3-1, synapse, 0.3, 0, 0.8930400013923645
conv3-1, synapse, 0.4, 0, 0.892799973487854
conv3-1, synapse, 0.5, 0, 0.8739399909973145
conv3-1, synapse, 0.6, 0, 0.8712799549102783
conv3-1, synapse, 0.7, 0, 0.8215199708938599
conv3-1, synapse, 0.8, 0, 0.6449199914932251
conv3-1, synapse, 0.9, 0, 0.12045999616384506
conv3-1, synapse, 1.0, 0, 0.004999999888241291
conv3-1, node, 0.0, 0, 0.9038199782371521
conv3-1, node, 0.1, 0, 0.8975200057029724
conv3-1, node, 0.2, 0, 0.8837399482727051
conv3-1, node, 0.3, 0, 0.8694199919700623
conv3-1, node, 0.4, 0, 0.8421799540519714
conv3-1, node, 0.5, 0, 0.7773599624633789
conv3-1, node, 0.6, 0, 0.681659996509552
conv3-1, node, 0.7, 0, 0.5366799831390381
conv3-1, node, 0.8, 0, 0.2593199908733368
conv3-1, node, 0.9, 0, 0.05203999951481819
conv3-1, node, 1.0, 0, 0.004999999888241291
conv3-2, synapse, 0.0, 0, 0.9038199782371521
conv3-2, synapse, 0.1, 0, 0.9025599956512451
conv3-2, synapse, 0.2, 0, 0.8996599912643433
conv3-2, synapse, 0.3, 0, 0.8979399800300598
conv3-2, synapse, 0.4, 0, 0.895859956741333
conv3-2, synapse, 0.5, 0, 0.8853399753570557
conv3-2, synapse, 0.6, 0, 0.8682000041007996
conv3-2, synapse, 0.7, 0, 0.8341400027275085
conv3-2, synapse, 0.8, 0, 0.671779990196228
conv3-2, synapse, 0.9, 0, 0.23245999217033386
conv3-2, synapse, 1.0, 0, 0.004999999888241291
conv3-2, node, 0.0, 0, 0.9038199782371521
conv3-2, node, 0.1, 0, 0.8959199786186218
conv3-2, node, 0.2, 0, 0.8873999714851379
conv3-2, node, 0.3, 0, 0.8609799742698669
conv3-2, node, 0.4, 0, 0.8306199908256531
conv3-2, node, 0.5, 0, 0.7888599634170532
conv3-2, node, 0.6, 0, 0.5128399729728699
conv3-2, node, 0.7, 0, 0.3503199815750122
conv3-2, node, 0.8, 0, 0.07214000076055527
conv3-2, node, 0.9, 0, 0.021080000326037407
conv3-2, node, 1.0, 0, 0.004999999888241291
conv3-3, synapse, 0.0, 0, 0.9038199782371521
conv3-3, synapse, 0.1, 0, 0.9020999670028687
conv3-3, synapse, 0.2, 0, 0.8995999693870544
conv3-3, synapse, 0.3, 0, 0.8944799900054932
conv3-3, synapse, 0.4, 0, 0.8889600038528442
conv3-3, synapse, 0.5, 0, 0.864579975605011
conv3-3, synapse, 0.6, 0, 0.8448999524116516
conv3-3, synapse, 0.7, 0, 0.7897599935531616
conv3-3, synapse, 0.8, 0, 0.6163399815559387
conv3-3, synapse, 0.9, 0, 0.11945999413728714
conv3-3, synapse, 1.0, 0, 0.004999999888241291
conv3-3, node, 0.0, 0, 0.9038199782371521
conv3-3, node, 0.1, 0, 0.8905799984931946
conv3-3, node, 0.2, 0, 0.8541399836540222
conv3-3, node, 0.3, 0, 0.7787999510765076
