layer, level, fraction, repeat, accuracy
features.0, synapse, 0.0, 0, 0.8000999689102173
features.0, synapse, 0.0, 1, 0.8000999689102173
features.0, synapse, 0.0, 2, 0.8000999689102173
features.0, synapse, 0.1, 0, 0.7983999848365784
features.0, synapse, 0.1, 1, 0.7979999780654907
features.0, synapse, 0.1, 2, 0.7983999848365784
features.0, synapse, 0.2, 0, 0.7918999791145325
features.0, synapse, 0.2, 1, 0.7864999771118164
features.0, synapse, 0.2, 2, 0.7935999631881714
features.0, synapse, 0.3, 0, 0.7924999594688416
features.0, synapse, 0.3, 1, 0.7901999950408936
features.0, synapse, 0.3, 2, 0.7926999926567078
features.0, synapse, 0.4, 0, 0.7775999903678894
features.0, synapse, 0.4, 1, 0.773099958896637
features.0, synapse, 0.4, 2, 0.7752999663352966
features.0, synapse, 0.5, 0, 0.7748000025749207
features.0, synapse, 0.5, 1, 0.774899959564209
features.0, synapse, 0.5, 2, 0.7487999796867371
features.0, synapse, 0.6, 0, 0.7605999708175659
features.0, synapse, 0.6, 1, 0.7745999693870544
features.0, synapse, 0.6, 2, 0.7591999769210815
features.0, synapse, 0.7, 0, 0.7305999994277954
features.0, synapse, 0.7, 1, 0.7669000029563904
features.0, synapse, 0.7, 2, 0.7238999605178833
features.0, synapse, 0.8, 0, 0.5895000100135803
features.0, synapse, 0.8, 1, 0.6656000018119812
features.0, synapse, 0.8, 2, 0.7310999631881714
features.0, synapse, 0.9, 0, 0.5809999704360962
features.0, synapse, 0.9, 1, 0.432699978351593
features.0, synapse, 0.9, 2, 0.6182999610900879
features.0, synapse, 1.0, 0, 0.04999999701976776
features.0, synapse, 1.0, 1, 0.04999999701976776
features.0, synapse, 1.0, 2, 0.04999999701976776
features.0, node, 0.0, 0, 0.8000999689102173
features.0, node, 0.0, 1, 0.8000999689102173
features.0, node, 0.0, 2, 0.8000999689102173
features.0, node, 0.1, 0, 0.7700999975204468
features.0, node, 0.1, 1, 0.7590999603271484
features.0, node, 0.1, 2, 0.7913999557495117
features.0, node, 0.2, 0, 0.7665999531745911
features.0, node, 0.2, 1, 0.7705000042915344
features.0, node, 0.2, 2, 0.7732999920845032
features.0, node, 0.3, 0, 0.7028999924659729
features.0, node, 0.3, 1, 0.6477999687194824
features.0, node, 0.3, 2, 0.6998999714851379
features.0, node, 0.4, 0, 0.738099992275238
features.0, node, 0.4, 1, 0.6008999943733215
features.0, node, 0.4, 2, 0.7547000050544739
features.0, node, 0.5, 0, 0.6283999681472778
features.0, node, 0.5, 1, 0.5817999839782715
features.0, node, 0.5, 2, 0.7058999538421631
features.0, node, 0.6, 0, 0.6225999593734741
features.0, node, 0.6, 1, 0.552299976348877
features.0, node, 0.6, 2, 0.6365000009536743
features.0, node, 0.7, 0, 0.4991999864578247
features.0, node, 0.7, 1, 0.4843999743461609
features.0, node, 0.7, 2, 0.4619999825954437
features.0, node, 0.8, 0, 0.3490999937057495
features.0, node, 0.8, 1, 0.3652999997138977
features.0, node, 0.8, 2, 0.3560999929904938
features.0, node, 0.9, 0, 0.23330000042915344
features.0, node, 0.9, 1, 0.13669998943805695
features.0, node, 0.9, 2, 0.17880000174045563
features.0, node, 1.0, 0, 0.04999999701976776
features.0, node, 1.0, 1, 0.04999999701976776
features.0, node, 1.0, 2, 0.04999999701976776
features.3, synapse, 0.0, 0, 0.8000999689102173
features.3, synapse, 0.0, 1, 0.8000999689102173
features.3, synapse, 0.0, 2, 0.8000999689102173
features.3, synapse, 0.1, 0, 0.7993999719619751
features.3, synapse, 0.1, 1, 0.8000999689102173
features.3, synapse, 0.1, 2, 0.8008999824523926
features.3, synapse, 0.2, 0, 0.7983999848365784
features.3, synapse, 0.2, 1, 0.7981999516487122
features.3, synapse, 0.2, 2, 0.7975999712944031
features.3, synapse, 0.3, 0, 0.7953999638557434
features.3, synapse, 0.3, 1, 0.7973999977111816
features.3, synapse, 0.3, 2, 0.7967999577522278
features.3, synapse, 0.4, 0, 0.796999990940094
features.3, synapse, 0.4, 1, 0.7983999848365784
features.3, synapse, 0.4, 2, 0.7953000068664551
features.3, synapse, 0.5, 0, 0.7938999533653259
features.3, synapse, 0.5, 1, 0.7897999882698059
features.3, synapse, 0.5, 2, 0.7962999939918518
features.3, synapse, 0.6, 0, 0.7895999550819397
features.3, synapse, 0.6, 1, 0.7907999753952026
features.3, synapse, 0.6, 2, 0.7910999655723572
features.3, synapse, 0.7, 0, 0.785099983215332
features.3, synapse, 0.7, 1, 0.7756999731063843
features.3, synapse, 0.7, 2, 0.7836999893188477
features.3, synapse, 0.8, 0, 0.7622999548912048
features.3, synapse, 0.8, 1, 0.7628999948501587
features.3, synapse, 0.8, 2, 0.763700008392334
features.3, synapse, 0.9, 0, 0.7037999629974365
features.3, synapse, 0.9, 1, 0.7060999870300293
features.3, synapse, 0.9, 2, 0.6947999596595764
features.3, synapse, 1.0, 0, 0.04999999701976776
features.3, synapse, 1.0, 1, 0.04999999701976776
features.3, synapse, 1.0, 2, 0.04999999701976776
features.3, node, 0.0, 0, 0.8000999689102173
features.3, node, 0.0, 1, 0.8000999689102173
features.3, node, 0.0, 2, 0.8000999689102173
features.3, node, 0.1, 0, 0.789900004863739
features.3, node, 0.1, 1, 0.7962999939918518
features.3, node, 0.1, 2, 0.7924999594688416
features.3, node, 0.2, 0, 0.7833999991416931
features.3, node, 0.2, 1, 0.7759000062942505
features.3, node, 0.2, 2, 0.7792999744415283
features.3, node, 0.3, 0, 0.7691999673843384
features.3, node, 0.3, 1, 0.769599974155426
features.3, node, 0.3, 2, 0.7756999731063843
features.3, node, 0.4, 0, 0.7648999691009521
features.3, node, 0.4, 1, 0.7807999849319458
features.3, node, 0.4, 2, 0.7461000084877014
features.3, node, 0.5, 0, 0.7529999613761902
features.3, node, 0.5, 1, 0.7360000014305115
features.3, node, 0.5, 2, 0.7315999865531921
features.3, node, 0.6, 0, 0.677299976348877
features.3, node, 0.6, 1, 0.7027999758720398
features.3, node, 0.6, 2, 0.7026000022888184
features.3, node, 0.7, 0, 0.6499999761581421
features.3, node, 0.7, 1, 0.6567999720573425
features.3, node, 0.7, 2, 0.6448999643325806
features.3, node, 0.8, 0, 0.6703999638557434
features.3, node, 0.8, 1, 0.5364999771118164
features.3, node, 0.8, 2, 0.3853999972343445
features.3, node, 0.9, 0, 0.38979998230934143
features.3, node, 0.9, 1, 0.3418999910354614
features.3, node, 0.9, 2, 0.43209999799728394
features.3, node, 1.0, 0, 0.04999999701976776
features.3, node, 1.0, 1, 0.04999999701976776
features.3, node, 1.0, 2, 0.04999999701976776
features.6, synapse, 0.0, 0, 0.8000999689102173
features.6, synapse, 0.0, 1, 0.8000999689102173
features.6, synapse, 0.0, 2, 0.8000999689102173
features.6, synapse, 0.1, 0, 0.8001999855041504
features.6, synapse, 0.1, 1, 0.8003000020980835
features.6, synapse, 0.1, 2, 0.8003000020980835
features.6, synapse, 0.2, 0, 0.7999999523162842
features.6, synapse, 0.2, 1, 0.7998999953269958
features.6, synapse, 0.2, 2, 0.7972999811172485
features.6, synapse, 0.3, 0, 0.7985000014305115
features.6, synapse, 0.3, 1, 0.7981999516487122
features.6, synapse, 0.3, 2, 0.8007000088691711
features.6, synapse, 0.4, 0, 0.7976999878883362
features.6, synapse, 0.4, 1, 0.7973999977111816
features.6, synapse, 0.4, 2, 0.799299955368042
features.6, synapse, 0.5, 0, 0.7938999533653259
features.6, synapse, 0.5, 1, 0.7996999621391296
features.6, synapse, 0.5, 2, 0.7960999608039856
features.6, synapse, 0.6, 0, 0.7928000092506409
features.6, synapse, 0.6, 1, 0.7942000031471252
features.6, synapse, 0.6, 2, 0.7942000031471252
features.6, synapse, 0.7, 0, 0.7896999716758728
features.6, synapse, 0.7, 1, 0.7913999557495117
features.6, synapse, 0.7, 2, 0.7913999557495117
features.6, synapse, 0.8, 0, 0.7820000052452087
features.6, synapse, 0.8, 1, 0.7805999517440796
features.6, synapse, 0.8, 2, 0.7802000045776367
features.6, synapse, 0.9, 0, 0.7195000052452087
features.6, synapse, 0.9, 1, 0.7192999720573425
features.6, synapse, 0.9, 2, 0.7339999675750732
features.6, synapse, 1.0, 0, 0.04999999701976776
features.6, synapse, 1.0, 1, 0.04999999701976776
features.6, synapse, 1.0, 2, 0.04999999701976776
features.6, node, 0.0, 0, 0.8000999689102173
features.6, node, 0.0, 1, 0.8000999689102173
