INFO:repeats=1, level=synapse
EXPT:layer=conv1, repeat=1, fraction=0.0, accuracy=0.79068
EXPT:layer=conv1, repeat=1, fraction=0.1, accuracy=0.63146
EXPT:layer=conv1, repeat=1, fraction=0.2, accuracy=0.47064
EXPT:layer=conv1, repeat=1, fraction=0.3, accuracy=0.28966
EXPT:layer=conv1, repeat=1, fraction=0.4, accuracy=0.0763
EXPT:layer=conv1, repeat=1, fraction=0.5, accuracy=0.08038
EXPT:layer=conv1, repeat=1, fraction=0.6, accuracy=0.04174
EXPT:layer=conv1, repeat=1, fraction=0.7, accuracy=0.02852
EXPT:layer=conv1, repeat=1, fraction=0.8, accuracy=0.01914
EXPT:layer=conv1, repeat=1, fraction=0.9, accuracy=0.01222
EXPT:layer=conv1, repeat=1, fraction=1.0, accuracy=0.005
EXPT:layer=conv2, repeat=1, fraction=0.0, accuracy=0.79072
EXPT:layer=conv2, repeat=1, fraction=0.1, accuracy=0.74786
EXPT:layer=conv2, repeat=1, fraction=0.2, accuracy=0.72528
EXPT:layer=conv2, repeat=1, fraction=0.3, accuracy=0.64676
EXPT:layer=conv2, repeat=1, fraction=0.4, accuracy=0.49986
EXPT:layer=conv2, repeat=1, fraction=0.5, accuracy=0.48068
EXPT:layer=conv2, repeat=1, fraction=0.6, accuracy=0.0488
EXPT:layer=conv2, repeat=1, fraction=0.7, accuracy=0.06192
EXPT:layer=conv2, repeat=1, fraction=0.8, accuracy=0.0183
EXPT:layer=conv2, repeat=1, fraction=0.9, accuracy=0.0169
EXPT:layer=conv2, repeat=1, fraction=1.0, accuracy=0.005
EXPT:layer=conv3, repeat=1, fraction=0.0, accuracy=0.7907
EXPT:layer=conv3, repeat=1, fraction=0.1, accuracy=0.78114
EXPT:layer=conv3, repeat=1, fraction=0.2, accuracy=0.75718
EXPT:layer=conv3, repeat=1, fraction=0.3, accuracy=0.70492
EXPT:layer=conv3, repeat=1, fraction=0.4, accuracy=0.69438
EXPT:layer=conv3, repeat=1, fraction=0.5, accuracy=0.63484
EXPT:layer=conv3, repeat=1, fraction=0.6, accuracy=0.48008
EXPT:layer=conv3, repeat=1, fraction=0.7, accuracy=0.29456
EXPT:layer=conv3, repeat=1, fraction=0.8, accuracy=0.1846
EXPT:layer=conv3, repeat=1, fraction=0.9, accuracy=0.02028
EXPT:layer=conv3, repeat=1, fraction=1.0, accuracy=0.005
EXPT:layer=conv4, repeat=1, fraction=0.0, accuracy=0.79072
EXPT:layer=conv4, repeat=1, fraction=0.1, accuracy=0.78472
EXPT:layer=conv4, repeat=1, fraction=0.2, accuracy=0.77886
EXPT:layer=conv4, repeat=1, fraction=0.3, accuracy=0.7687
EXPT:layer=conv4, repeat=1, fraction=0.4, accuracy=0.75438
EXPT:layer=conv4, repeat=1, fraction=0.5, accuracy=0.73352
EXPT:layer=conv4, repeat=1, fraction=0.6, accuracy=0.69408
EXPT:layer=conv4, repeat=1, fraction=0.7, accuracy=0.64178
EXPT:layer=conv4, repeat=1, fraction=0.8, accuracy=0.49692
EXPT:layer=conv4, repeat=1, fraction=0.9, accuracy=0.23956
EXPT:layer=conv4, repeat=1, fraction=1.0, accuracy=0.005
EXPT:layer=conv5, repeat=1, fraction=0.0, accuracy=0.79072
EXPT:layer=conv5, repeat=1, fraction=0.1, accuracy=0.78898
EXPT:layer=conv5, repeat=1, fraction=0.2, accuracy=0.78686
EXPT:layer=conv5, repeat=1, fraction=0.3, accuracy=0.7821
EXPT:layer=conv5, repeat=1, fraction=0.4, accuracy=0.77482
EXPT:layer=conv5, repeat=1, fraction=0.5, accuracy=0.7589
EXPT:layer=conv5, repeat=1, fraction=0.6, accuracy=0.74608
EXPT:layer=conv5, repeat=1, fraction=0.7, accuracy=0.70146
EXPT:layer=conv5, repeat=1, fraction=0.8, accuracy=0.6136
EXPT:layer=conv5, repeat=1, fraction=0.9, accuracy=0.3096
EXPT:layer=conv5, repeat=1, fraction=1.0, accuracy=0.005
EXPT:layer=dense1, repeat=1, fraction=0.0, accuracy=0.79072
EXPT:layer=dense1, repeat=1, fraction=0.1, accuracy=0.79016
EXPT:layer=dense1, repeat=1, fraction=0.2, accuracy=0.7899
EXPT:layer=dense1, repeat=1, fraction=0.3, accuracy=0.78982
EXPT:layer=dense1, repeat=1, fraction=0.4, accuracy=0.78832
EXPT:layer=dense1, repeat=1, fraction=0.5, accuracy=0.78578
