INFO:repeats=3, level=node
EXPT:layer=conv1, repeat=1, fraction=0.0, accuracy=0.79072
EXPT:layer=conv1, repeat=2, fraction=0.0, accuracy=0.79072
EXPT:layer=conv1, repeat=3, fraction=0.0, accuracy=0.7907
EXPT:layer=conv1, repeat=1, fraction=0.1, accuracy=0.71802
EXPT:layer=conv1, repeat=2, fraction=0.1, accuracy=0.69804
EXPT:layer=conv1, repeat=3, fraction=0.1, accuracy=0.66778
EXPT:layer=conv1, repeat=1, fraction=0.2, accuracy=0.59704
EXPT:layer=conv1, repeat=2, fraction=0.2, accuracy=0.45942
EXPT:layer=conv1, repeat=3, fraction=0.2, accuracy=0.46998
EXPT:layer=conv1, repeat=1, fraction=0.3, accuracy=0.21622
EXPT:layer=conv1, repeat=2, fraction=0.3, accuracy=0.2791
EXPT:layer=conv1, repeat=3, fraction=0.3, accuracy=0.34212
EXPT:layer=conv1, repeat=1, fraction=0.4, accuracy=0.1202
EXPT:layer=conv1, repeat=2, fraction=0.4, accuracy=0.25606
EXPT:layer=conv1, repeat=3, fraction=0.4, accuracy=0.20948
EXPT:layer=conv1, repeat=1, fraction=0.5, accuracy=0.05052
EXPT:layer=conv1, repeat=2, fraction=0.5, accuracy=0.06264
EXPT:layer=conv1, repeat=3, fraction=0.5, accuracy=0.07352
EXPT:layer=conv1, repeat=1, fraction=0.6, accuracy=0.03594
EXPT:layer=conv1, repeat=2, fraction=0.6, accuracy=0.04584
EXPT:layer=conv1, repeat=3, fraction=0.6, accuracy=0.06494
EXPT:layer=conv1, repeat=1, fraction=0.7, accuracy=0.05072
EXPT:layer=conv1, repeat=2, fraction=0.7, accuracy=0.02114
EXPT:layer=conv1, repeat=3, fraction=0.7, accuracy=0.03178
EXPT:layer=conv1, repeat=1, fraction=0.8, accuracy=0.02702
EXPT:layer=conv1, repeat=2, fraction=0.8, accuracy=0.01984
EXPT:layer=conv1, repeat=3, fraction=0.8, accuracy=0.02158
EXPT:layer=conv1, repeat=1, fraction=0.9, accuracy=0.01012
EXPT:layer=conv1, repeat=2, fraction=0.9, accuracy=0.01228
EXPT:layer=conv1, repeat=3, fraction=0.9, accuracy=0.00798
EXPT:layer=conv1, repeat=1, fraction=1.0, accuracy=0.005
EXPT:layer=conv1, repeat=2, fraction=1.0, accuracy=0.005
EXPT:layer=conv1, repeat=3, fraction=1.0, accuracy=0.005
EXPT:layer=conv2, repeat=1, fraction=0.0, accuracy=0.79072
EXPT:layer=conv2, repeat=2, fraction=0.0, accuracy=0.79072
EXPT:layer=conv2, repeat=3, fraction=0.0, accuracy=0.79072
EXPT:layer=conv2, repeat=1, fraction=0.1, accuracy=0.73454
EXPT:layer=conv2, repeat=2, fraction=0.1, accuracy=0.75358
EXPT:layer=conv2, repeat=3, fraction=0.1, accuracy=0.75972
EXPT:layer=conv2, repeat=1, fraction=0.2, accuracy=0.69882
EXPT:layer=conv2, repeat=2, fraction=0.2, accuracy=0.68128
EXPT:layer=conv2, repeat=3, fraction=0.2, accuracy=0.6485
EXPT:layer=conv2, repeat=1, fraction=0.3, accuracy=0.53576
EXPT:layer=conv2, repeat=2, fraction=0.3, accuracy=0.55582
EXPT:layer=conv2, repeat=3, fraction=0.3, accuracy=0.58894
EXPT:layer=conv2, repeat=1, fraction=0.4, accuracy=0.49798
EXPT:layer=conv2, repeat=2, fraction=0.4, accuracy=0.45998
EXPT:layer=conv2, repeat=3, fraction=0.4, accuracy=0.44888
EXPT:layer=conv2, repeat=1, fraction=0.5, accuracy=0.41824
EXPT:layer=conv2, repeat=2, fraction=0.5, accuracy=0.28676
EXPT:layer=conv2, repeat=3, fraction=0.5, accuracy=0.3207
EXPT:layer=conv2, repeat=1, fraction=0.6, accuracy=0.18126
EXPT:layer=conv2, repeat=2, fraction=0.6, accuracy=0.21128
EXPT:layer=conv2, repeat=3, fraction=0.6, accuracy=0.18332
EXPT:layer=conv2, repeat=1, fraction=0.7, accuracy=0.08558
EXPT:layer=conv2, repeat=2, fraction=0.7, accuracy=0.06816
EXPT:layer=conv2, repeat=3, fraction=0.7, accuracy=0.08924
EXPT:layer=conv2, repeat=1, fraction=0.8, accuracy=0.03194
EXPT:layer=conv2, repeat=2, fraction=0.8, accuracy=0.02426
EXPT:layer=conv2, repeat=3, fraction=0.8, accuracy=0.0223
EXPT:layer=conv2, repeat=1, fraction=0.9, accuracy=0.0081
EXPT:layer=conv2, repeat=2, fraction=0.9, accuracy=0.0105
EXPT:layer=conv2, repeat=3, fraction=0.9, accuracy=0.00944
EXPT:layer=conv2, repeat=1, fraction=1.0, accuracy=0.005
EXPT:layer=conv2, repeat=2, fraction=1.0, accuracy=0.005
EXPT:layer=conv2, repeat=3, fraction=1.0, accuracy=0.005
EXPT:layer=conv3, repeat=1, fraction=0.0, accuracy=0.79072
EXPT:layer=conv3, repeat=2, fraction=0.0, accuracy=0.79072
EXPT:layer=conv3, repeat=3, fraction=0.0, accuracy=0.79072
EXPT:layer=conv3, repeat=1, fraction=0.1, accuracy=0.7645
EXPT:layer=conv3, repeat=2, fraction=0.1, accuracy=0.77072
