layer, level, fraction, repeat, accuracy
features.0, synapse, 0.0, 0, 0.7193999886512756
features.0, synapse, 0.0, 1, 0.7193999886512756
features.0, synapse, 0.0, 2, 0.7193999886512756
features.0, synapse, 0.1, 0, 0.7139999866485596
features.0, synapse, 0.1, 1, 0.7204999923706055
features.0, synapse, 0.1, 2, 0.7170999646186829
features.0, synapse, 0.2, 0, 0.708299994468689
features.0, synapse, 0.2, 1, 0.6733999848365784
features.0, synapse, 0.2, 2, 0.7102000117301941
features.0, synapse, 0.3, 0, 0.6992999911308289
features.0, synapse, 0.3, 1, 0.6998999714851379
features.0, synapse, 0.3, 2, 0.5814999938011169
features.0, synapse, 0.4, 0, 0.6762999892234802
features.0, synapse, 0.4, 1, 0.6588999629020691
features.0, synapse, 0.4, 2, 0.568399965763092
features.0, synapse, 0.5, 0, 0.5690000057220459
features.0, synapse, 0.5, 1, 0.6803999543190002
features.0, synapse, 0.5, 2, 0.6643999814987183
features.0, synapse, 0.6, 0, 0.4291999936103821
features.0, synapse, 0.6, 1, 0.42639997601509094
features.0, synapse, 0.6, 2, 0.6274999976158142
features.0, synapse, 0.7, 0, 0.4196999967098236
features.0, synapse, 0.7, 1, 0.43549999594688416
features.0, synapse, 0.7, 2, 0.3685999810695648
features.0, synapse, 0.8, 0, 0.5320999622344971
features.0, synapse, 0.8, 1, 0.5160999894142151
features.0, synapse, 0.8, 2, 0.5267999768257141
features.0, synapse, 0.9, 0, 0.22949999570846558
features.0, synapse, 0.9, 1, 0.33249998092651367
features.0, synapse, 0.9, 2, 0.32670000195503235
features.0, synapse, 1.0, 0, 0.04999999701976776
features.0, synapse, 1.0, 1, 0.04999999701976776
features.0, synapse, 1.0, 2, 0.04999999701976776
features.0, node, 0.0, 0, 0.7193999886512756
features.0, node, 0.0, 1, 0.7193999886512756
features.0, node, 0.0, 2, 0.7193999886512756
features.0, node, 0.1, 0, 0.7182999849319458
features.0, node, 0.1, 1, 0.7182999849319458
features.0, node, 0.1, 2, 0.7188000082969666
features.0, node, 0.2, 0, 0.7173999547958374
features.0, node, 0.2, 1, 0.7145999670028687
features.0, node, 0.2, 2, 0.7152000069618225
