INFO:repeats=2, level=synapse
EXPT:layer=conv1, repeat=1, fraction=0.0, accuracy=0.79072
EXPT:layer=conv1, repeat=2, fraction=0.0, accuracy=0.79072
EXPT:layer=conv1, repeat=1, fraction=0.1, accuracy=0.65326
EXPT:layer=conv1, repeat=2, fraction=0.1, accuracy=0.68346
EXPT:layer=conv1, repeat=1, fraction=0.2, accuracy=0.44662
EXPT:layer=conv1, repeat=2, fraction=0.2, accuracy=0.52634
EXPT:layer=conv1, repeat=1, fraction=0.3, accuracy=0.2247
EXPT:layer=conv1, repeat=2, fraction=0.3, accuracy=0.19358
EXPT:layer=conv1, repeat=1, fraction=0.4, accuracy=0.18822
EXPT:layer=conv1, repeat=2, fraction=0.4, accuracy=0.08022
EXPT:layer=conv1, repeat=1, fraction=0.5, accuracy=0.10152
EXPT:layer=conv1, repeat=2, fraction=0.5, accuracy=0.14026
EXPT:layer=conv1, repeat=1, fraction=0.6, accuracy=0.04966
EXPT:layer=conv1, repeat=2, fraction=0.6, accuracy=0.12678
EXPT:layer=conv1, repeat=1, fraction=0.7, accuracy=0.03824
EXPT:layer=conv1, repeat=2, fraction=0.7, accuracy=0.02892
EXPT:layer=conv1, repeat=1, fraction=0.8, accuracy=0.02126
EXPT:layer=conv1, repeat=2, fraction=0.8, accuracy=0.02476
EXPT:layer=conv1, repeat=1, fraction=0.9, accuracy=0.01384
EXPT:layer=conv1, repeat=2, fraction=0.9, accuracy=0.01024
EXPT:layer=conv1, repeat=1, fraction=1.0, accuracy=0.005
EXPT:layer=conv1, repeat=2, fraction=1.0, accuracy=0.005
EXPT:layer=conv2, repeat=1, fraction=0.0, accuracy=0.79072
EXPT:layer=conv2, repeat=2, fraction=0.0, accuracy=0.79072
EXPT:layer=conv2, repeat=1, fraction=0.1, accuracy=0.75932
EXPT:layer=conv2, repeat=2, fraction=0.1, accuracy=0.75186
EXPT:layer=conv2, repeat=1, fraction=0.2, accuracy=0.6988
EXPT:layer=conv2, repeat=2, fraction=0.2, accuracy=0.6636
EXPT:layer=conv2, repeat=1, fraction=0.3, accuracy=0.59746
EXPT:layer=conv2, repeat=2, fraction=0.3, accuracy=0.52278
EXPT:layer=conv2, repeat=1, fraction=0.4, accuracy=0.53444
EXPT:layer=conv2, repeat=2, fraction=0.4, accuracy=0.44258
EXPT:layer=conv2, repeat=1, fraction=0.5, accuracy=0.29628
EXPT:layer=conv2, repeat=2, fraction=0.5, accuracy=0.36984
EXPT:layer=conv2, repeat=1, fraction=0.6, accuracy=0.18562
